mutant,plateId,wellId,biomass_t0,biomass_t1,biomass_t2,biomass_t3,biomass_t4,biomass_t5,biomass_t6,biomass_t7,biomass_t8,biomass_t9,biomass_t10,biomass_t11,biomass_t12,biomass_t13,biomass_t14,biomass_t15,biomass_t16,biomass_t17,biomass_t18,biomass_t19,biomass_t20,biomass_t21,biomass_t22,biomass_t23,biomass_t24,biomass_t25,biomass_t26,biomass_t27,biomass_t28,biomass_t29,biomass_t30
hapR,241010_105227_Plate_1,A1,0.0,0.0009822939478976137,0.0006137859273704355,0.0006283607915327386,0.0006156719957812243,0.000926213942079862,0.0014901428461051476,0.004284307185233399,0.017309577755239107,0.05973255298142674,0.22256550214636878,0.681272694635935,1.3678605817789355,2.142102097237779,2.3911143553323675,2.7376441481364053,3.2188540186887122,3.9642286291443183,4.4626985469225975,4.5245959923846755,4.282587774594389,4.038628082574372,3.81101476262863,3.6100730394933542,3.385111865316233,3.1635889774002095,2.9872739495153433,2.788738264363719,2.5548806281455367,2.3481407928523077,2.068310088647637
flaA,241010_105227_Plate_1,A11,0.0,4.1718854165679033e-05,4.993512578446421e-05,6.997682296932986e-05,0.000266602236882073,0.002616804556945345,0.020579862683308695,0.10445602875286839,0.44668703413862876,1.2445950232238099,2.4384876963627926,3.2283151910928933,3.4308934641211,2.868986790313722,2.09296574168905,1.3795363898622626,0.7359464753464724,0.47456393713827016,0.7440290428921326,0.9766067848742439,0.9624180022996114,0.921625101924033,0.8578197192344039,0.7767426527007094,0.7495603153593168,0.6667537397421739,0.5767825518664599,0.5397540974441789,0.43421017196607314,0.3885297849877748,0.38868219793395553
luxO_D47E,241010_105227_Plate_1,A2,0.0,0.0001943868496016782,0.00020992980682454633,0.0002041457254854218,0.00021230053369122436,0.00040495143394323336,0.0016651761071947093,0.006576961707299194,0.023638065565223333,0.08134560490319603,0.25293041441010683,0.5884667195892218,0.915097026050608,0.7341062177597879,0.4996273332650583,0.39452432860931735,0.3607231230225229,0.3798975945562474,0.41604064278354375,0.4066483069943271,0.1410189716374223,0.050429812463819744,0.05382580229323162,0.05968083289539853,0.06683266226211662,0.06670233213946769,0.06427283366370512,0.059913083073269015,0.05722110997606559,0.05804996488219969,0.05921864247522626
rbmB,241010_105227_Plate_1,A3,0.0,5.103426455281387e-05,4.1926771105081844e-05,5.1918262984517647e-05,6.755100273491874e-05,0.000348385458878129,0.0018771310868302441,0.0098357524655311,0.04291515869511072,0.1444983204474252,0.4031819858464199,0.887960967673128,1.5146419398192204,1.9405318629712147,2.0646227520084888,2.035667970475509,1.876971651786938,1.8542234678332674,1.9092789162418535,1.7197926410943951,1.523393746659497,1.3713993174674854,1.3015960606759627,1.202419505362782,1.2155002010110136,1.1355453324750864,1.1365543743934603,1.1032315140628537,1.0304688780341913,0.9702912444738169,0.9448663708501435
vpsL,241010_105227_Plate_1,A4,0.0,1.2039178871351287e-05,1.0853059726607326e-05,1.5366142823561986e-05,2.6714973307566788e-05,3.056038404072103e-05,3.378310863934531e-05,3.172604748215288e-05,0.00020969482739159305,0.0009269224048027076,0.0032242457854930037,0.003695319091651889,0.0020355308723887734,0.0014598154786540404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WT,241010_105227_Plate_1,A5,0.0,5.243857028681387e-05,5.2750633620612577e-05,7.143075821072813e-05,9.983685982516887e-05,0.00021906967481511144,0.0014400346323142517,0.011060631580094253,0.051754055590250765,0.22245136297337775,0.5264113772574937,0.9772005867825978,0.6258891470988001,0.04353240571383863,0.0006780375141745524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potD1,241010_105227_Plate_1,A6,0.0,1.2849559643104979e-05,0.021825214889233977,0.02169110955341615,0.021381485228019022,0.02176436340185802,0.024306355204799637,0.03986442531822413,0.11119227971136199,0.4015753032732635,1.0254520243392853,1.7217319436891065,2.3372597524093544,3.3362411456701935,4.060597215009808,4.226740701769856,3.4157740864845523,3.8799665399858516,3.914582402467164,3.826161760513872,3.6938845775248264,3.693284689798964,3.643541357550131,3.5941277963577347,3.6204010061912815,3.589196679124875,3.444348805370255,3.425690491413811,3.3977577928367237,3.2996584940997074,3.1352130841788313
vpvC_W240R,241010_105227_Plate_1,A9,0.0,3.730291810421407e-05,3.6718280366994584e-05,4.5196708940922086e-05,0.00016354329113473266,0.0016459436532018628,0.01209304504401528,0.05891303412061376,0.2292710698842798,0.6618349947756781,1.4934541327239472,2.5745416975714988,3.0933165107664737,3.4072111406183936,3.721306869956564,4.0643214678167014,4.317670171833294,4.557041023697481,5.221055610543793,5.939599055391396,6.3508120599028635,6.587936910720744,6.790083023828713,6.9137488419199915,7.015176012800447,7.072208148111299,7.195173094032339,7.250974289155651,7.465036967962678,7.321114740363428,7.427044747429204
hapR,241010_105227_Plate_1,B1,0.0,8.727119821867788e-05,7.171082619493853e-05,7.28116636420214e-05,7.395636578914811e-05,0.00014577385429556696,0.0009566318945838879,0.005577447437182204,0.030929609251434623,0.12946382324584585,0.44797317469728576,1.116151637756816,1.9124973774243659,2.2631739526509045,2.5334700533785965,2.9606759844090216,3.3132879833575744,3.9605809506346503,4.002495179605495,3.872879170795661,3.4787228402019883,3.2124743431345393,2.9723858329441284,2.711000572837326,2.555320545811169,2.3263609895307984,2.0681030370981084,1.8202384571822856,1.5485569970074093,1.301879017751562,1.097274368124288
flaA,241010_105227_Plate_1,B11,0.0,0.0009002258293896096,0.0007214097980171089,0.0007303031502723003,0.0009479756217030757,0.00120520754543006,0.002944714891397033,0.012079038300948985,0.056189390027832097,0.20843486922364676,0.6680288857030457,1.6365273553421695,2.7065545153230484,3.3047214261271796,3.3480650196871946,2.984605753239007,2.456236214040236,1.880506107340097,1.2843669775544588,1.1048251957247608,1.2937841448166534,1.5882795291497178,1.634319741760149,1.5585387408784928,1.4636755588824752,1.388704974886215,1.246383049783304,1.1736355279827402,0.9805271213837271,0.927394925062137,0.8463401286078976
