mutant,geneLocus,nReps,umap1,umap2,functionalGroup,color
ung,VC_2359,24,9.214238,5.1683283,Unclassified,#939090
VC_1462,VC_1462,24,9.01312,7.623923,Unclassified,#939090
wavA,VC_0223,24,8.966514,6.145128,O-Antigen Biosynthesis,#0096ff
VC_2453,VC_2453,23,9.157214,5.9363256,Unclassified,#939090
VC_2311,VC_2311,24,9.691994,5.934342,Unclassified,#939090
lipA,VC_0943,20,4.906033,1.2055736,Pyruvate Flux,#39ff14
rsmJ,VC_0073,23,9.3587675,7.0425415,Unclassified,#939090
potC,VC_1426,21,9.241008,7.5044885,Polyamine Import,#14f7f0
pckA,VC_2738,24,9.416191,1.8286678,Unclassified,#939090
rluD,VC_0709,24,8.231742,6.4794755,Unclassified,#939090
flgB,VC_2200,24,9.376255,-0.49233142,Motility,#ff0004
flgP,VC_2206,24,9.5784445,1.3851932,Motility,#ff0004
fliQ,VC_2122,21,9.189831,-1.1260531,Motility,#ff0004
argF,VC_2508,21,8.974611,7.8240714,Unclassified,#939090
fliS,VC_2138,24,9.374059,-1.2100457,Motility,#ff0004
VC_A1081,VC_A1081,24,9.262797,4.9709363,Unclassified,#939090
VC_1909,VC_1909,24,9.703635,8.138889,Unclassified,#939090
VC_0449,VC_0449,24,8.595456,8.398786,Unclassified,#939090
VC_1498,VC_1498,24,9.119043,8.005691,Unclassified,#939090
VC_2756,VC_2756,24,8.869008,5.016278,Unclassified,#939090
VC_0113,VC_0113,24,9.131828,4.7067947,Unclassified,#939090
VC_1423,VC_1423,24,9.181631,7.2760215,Unclassified,#939090
VC_A0588,VC_A0588,24,8.74646,9.144078,Unclassified,#939090
epsC,VC_2734,23,9.484834,10.500373,Unclassified,#939090
proQ,VC_1497,24,9.058267,9.393014,Unclassified,#939090
VC_2627,VC_2627,24,9.711198,8.500867,Unclassified,#939090
gshB,VC_0468,24,6.1938496,2.6908877,Unclassified,#939090
potB,VC_1427,24,10.0729475,1.6094762,Polyamine Import,#14f7f0
flgE,VC_2197,22,10.671523,0.042806897,Motility,#ff0004
glyQ,VC_0021,23,10.095387,9.723347,Unclassified,#939090
VC_0462,VC_0462,24,9.979584,8.70619,Unclassified,#939090
flhA,VC_2069,21,9.974592,-0.732849,Motility,#ff0004
VC_0399,VC_0399,24,8.422856,4.3416257,Unclassified,#939090
fliD,VC_2140,24,9.984199,7.922205,Motility,#ff0004
VC_0196,VC_0196,24,9.187928,6.295408,Unclassified,#939090
VC_2270,VC_2270,16,6.2069683,3.4078274,Unclassified,#939090
