mutant,geneLocus,nReps,umap1,umap2,isChrII,locusNumRaw,locusNum
ung,VC_2359,24,9.214238,5.1683283,False,2359.0,2359.0
VC_1462,VC_1462,24,9.01312,7.623923,False,1462.0,1462.0
wavA,VC_0223,24,8.966514,6.145128,False,223.0,223.0
VC_2453,VC_2453,23,9.157214,5.9363256,False,2453.0,2453.0
VC_2311,VC_2311,24,9.691994,5.934342,False,2311.0,2311.0
lipA,VC_0943,20,4.906033,1.2055736,False,943.0,943.0
rsmJ,VC_0073,23,9.3587675,7.0425415,False,73.0,73.0
potC,VC_1426,21,9.241008,7.5044885,False,1426.0,1426.0
pckA,VC_2738,24,9.416191,1.8286678,False,2738.0,2738.0
rluD,VC_0709,24,8.231742,6.4794755,False,709.0,709.0
flgB,VC_2200,24,9.376255,-0.49233142,False,2200.0,2200.0
flgP,VC_2206,24,9.5784445,1.3851932,False,2206.0,2206.0
fliQ,VC_2122,21,9.189831,-1.1260531,False,2122.0,2122.0
argF,VC_2508,21,8.974611,7.8240714,False,2508.0,2508.0
fliS,VC_2138,24,9.374059,-1.2100457,False,2138.0,2138.0
VC_A1081,VC_A1081,24,9.262797,4.9709363,True,1081.0,3837.0
VC_1909,VC_1909,24,9.703635,8.138889,False,1909.0,1909.0
VC_0449,VC_0449,24,8.595456,8.398786,False,449.0,449.0
VC_1498,VC_1498,24,9.119043,8.005691,False,1498.0,1498.0
VC_2756,VC_2756,24,8.869008,5.016278,False,2756.0,2756.0
VC_0113,VC_0113,24,9.131828,4.7067947,False,113.0,113.0
VC_1423,VC_1423,24,9.181631,7.2760215,False,1423.0,1423.0
VC_A0588,VC_A0588,24,8.74646,9.144078,True,588.0,3344.0
epsC,VC_2734,23,9.484834,10.500373,False,2734.0,2734.0
proQ,VC_1497,24,9.058267,9.393014,False,1497.0,1497.0
VC_2627,VC_2627,24,9.711198,8.500867,False,2627.0,2627.0
gshB,VC_0468,24,6.1938496,2.6908877,False,468.0,468.0
potB,VC_1427,24,10.0729475,1.6094762,False,1427.0,1427.0
flgE,VC_2197,22,10.671523,0.042806897,False,2197.0,2197.0
glyQ,VC_0021,23,10.095387,9.723347,False,21.0,21.0
VC_0462,VC_0462,24,9.979584,8.70619,False,462.0,462.0
flhA,VC_2069,21,9.974592,-0.732849,False,2069.0,2069.0
VC_0399,VC_0399,24,8.422856,4.3416257,False,399.0,399.0
fliD,VC_2140,24,9.984199,7.922205,False,2140.0,2140.0
VC_0196,VC_0196,24,9.187928,6.295408,False,196.0,196.0
VC_2270,VC_2270,16,6.2069683,3.4078274,False,2270.0,2270.0
VC_2718; VC_2719,VC_2718; VC_2719,20,4.9527655,-4.725567,False,2718.0,2718.0
VC_1933,VC_1933,24,9.676697,5.634817,False,1933.0,1933.0
VC_A0001,VC_A0001,24,9.155916,8.876369,True,1.0,2757.0
fadR,VC_1900,21,7.3763146,-0.36846107,False,1900.0,1900.0
pilC,VC_2425,24,9.495908,9.172347,False,2425.0,2425.0
pta,VC_1097,20,10.023731,10.97782,False,1097.0,1097.0
VC_A0800,VC_A0800,21,9.44106,1.5700109,True,800.0,3556.0
wzt,VC_0247,21,9.703046,8.242281,False,247.0,247.0
wbeM,VC_0250,21,9.394244,7.1206613,False,250.0,250.0
VC_A0759,VC_A0759,24,9.5950575,6.877033,True,759.0,3515.0
VC_A0620,VC_A0620,22,9.65335,10.37177,True,620.0,3376.0
