plateId,wellId,mutant,geneLocus,function,umap1,umap2,peakBiomass,peakBiomassNorm
Plate1_Drawer1 02-Oct-2025 11-48-52,A1,ung,VC_2359,uracil-DNA glycosylase; Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine.,9.920667,5.550646,0.027371941,2.045404042996738
Plate1_Drawer1 02-Oct-2025 11-48-52,A10,VC_1462,VC_1462,RstB2 protein; Similar to GP:2564358; identified by sequence similarity; putative.,9.801608,10.0764475,0.010595975,0.7917980717732939
Plate1_Drawer1 02-Oct-2025 11-48-52,A12,wavA,VC_0223,"ADP-heptose--LPS heptosyltransferase II, putative; Similar to GB:L42023 SP:P44011 PID:1003930 PID:1222457 PID:1204774; identified by sequence similarity; putative.",10.397648,9.332003,0.0096756,0.7230218477534801
Plate1_Drawer1 02-Oct-2025 11-48-52,A2,VC_2453,VC_2453,Sensor histidine kinase/response regulator; Similar to GB:D10888 SP:P26607 PID:216535 PID:882680 GB:U00096; identified by sequence similarity; putative.,6.6370077,2.7476828,0.035348166,2.6414378742420874
Plate1_Drawer1 02-Oct-2025 11-48-52,A3,VC_2311,VC_2311,HesA/MoeB/ThiF family protein; Similar to GB:D21145 PID:471103 PID:882707 GB:U00096 SP:Q46927; identified by sequence similarity; putative.,9.843948,5.2498274,0.025906445,1.935892940243903
Plate1_Drawer1 02-Oct-2025 11-48-52,A4,lipA,VC_0943,"Lipoic acid synthetase; Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives.",4.5107336,1.2138515,0.032757536,2.4478496637491363
Plate1_Drawer1 02-Oct-2025 11-48-52,A5,rsmJ,VC_0073,Conserved hypothetical protein; Specifically methylates the guanosine in position 1516 of 16S rRNA.,9.65115,5.665912,0.02256779,1.6864075845955302
Plate1_Drawer1 02-Oct-2025 11-48-52,A6,potC,VC_1426,"Spermidine/putrescine ABC transporter, permease protein; Similar to GB:M64519 SP:P23859 PID:147328 GB:U00096 PID:1651551; identified by sequence similarity; putative.",7.9196067,6.871411,0.018197076,1.3598002721516502
Plate1_Drawer1 02-Oct-2025 11-48-52,A7,pckA,VC_2738,Phosphoenolpyruvate carboxykinase; Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA. Belongs to the phosphoenolpyruvate carboxykinase (ATP) family.,9.507792,1.5114304,0.08687328,6.4917193172522065
Plate1_Drawer1 02-Oct-2025 11-48-52,A8,rluD,VC_0709,"Ribosomal large subunit pseudouridine synthase D; Responsible for synthesis of pseudouridine from uracil at positions 1911, 1915 and 1917 in 23S ribosomal RNA; Belongs to the pseudouridine synthase RluA family.",7.327121,5.736334,0.018134486,1.355123152649925
Plate1_Drawer1 02-Oct-2025 11-48-52,B1,flgB,VC_2200,"Flagellar basal-body rod protein FlgB; Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body.",6.306801,1.3524837,0.024878662,1.8590905131334792
Plate1_Drawer1 02-Oct-2025 11-48-52,B10,flgP,VC_2206,Conserved hypothetical protein; Identified by Glimmer2; putative.,8.710127,1.684502,0.05957007,4.45145128800324
Plate1_Drawer1 02-Oct-2025 11-48-52,B11,fliQ,VC_2122,Flagellar biosynthetic protein FliQ; Role in flagellar biosynthesis. Belongs to the FliQ/MopD/SpaQ family.,7.2402463,0.6618084,0.07685424,5.743033466915687
Plate1_Drawer1 02-Oct-2025 11-48-52,B12,argF,VC_2508,Ornithine carbamoyltransferase; Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline; Belongs to the aspartate/ornithine carbamoyltransferase superfamily. OTCase family.,10.895289,9.090462,0.015324404,1.1451361048204578
Plate1_Drawer1 02-Oct-2025 11-48-52,B2,fliS,VC_2138,Flagellar protein FliS; Similar to GB:U12816 PID:1254205; identified by sequence similarity; putative.,6.8526726,0.567384,0.06936349,5.18327738914693
Plate1_Drawer1 02-Oct-2025 11-48-52,B3,VC_A1081,VC_A1081,Hypothetical protein; Identified by Glimmer2; putative.,10.359243,6.329894,0.022373976,1.671924580296004
Plate1_Drawer1 02-Oct-2025 11-48-52,B4,VC_1909,VC_1909,Hypothetical protein; Identified by Glimmer2; putative.,10.252698,9.608438,0.012696102,0.9487328049223465
Plate1_Drawer1 02-Oct-2025 11-48-52,B5,VC_0449,VC_0449,Methyl-accepting chemotaxis protein; Similar to GB:X61367 PID:48195; identified by sequence similarity; putative.,10.568541,10.485382,0.010891716,0.8138977042794393
Plate1_Drawer1 02-Oct-2025 11-48-52,B6,VC_1498,VC_1498,Conserved hypothetical protein; Identified by Glimmer2; putative.,8.880112,9.137244,0.009190577,0.6867778705672657
Plate1_Drawer1 02-Oct-2025 11-48-52,B7,VC_2756,VC_2756,Potassium uptake protein TrkH; Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA; Belongs to the TrkH potassium transport family.,8.222595,9.666044,0.008370606,0.6255044665898101
Plate1_Drawer1 02-Oct-2025 11-48-52,B8,VC_0113,VC_0113,Methyltransferase-related protein; Similar to SP:P37431 PID:295895; identified by sequence similarity; putative.,9.576447,9.209773,0.013492409,1.0082378855911454
Plate1_Drawer1 02-Oct-2025 11-48-52,B9,VC_1423,VC_1423,Hypothetical protein; Identified by Glimmer2; putative.,7.065023,5.6887374,0.02382607,1.780434201093861
Plate1_Drawer1 02-Oct-2025 11-48-52,C1,VC_A0588,VC_A0588,"Peptide ABC transporter, ATP-binding protein, putative; Similar to SP:P33916 PID:405909 GB:U00096 PID:1736845 PID:1788506; identified by sequence similarity; putative; Belongs to the ABC transporter superfamily.",8.600291,8.941409,0.01434009,1.0715819555119273
Plate1_Drawer1 02-Oct-2025 11-48-52,C10,epsC,VC_2734,"General secretion pathway protein C; Involved in a type II secretion system (T2SS, formerly general secretion pathway, GSP) for the export of proteins (By similarity). Required for secretion of cholera toxin through the outer membrane.",9.688729,11.11518,0.009547652,0.713460766334616
Plate1_Drawer1 02-Oct-2025 11-48-52,C11,proQ,VC_1497,"Conserved hypothetical protein; RNA chaperone with significant RNA binding, RNA strand exchange and RNA duplexing activities; Belongs to the ProQ family.",10.61315,9.703305,0.030718857,2.295506712660189
Plate1_Drawer1 02-Oct-2025 11-48-52,C12,VC_2627,VC_2627,DamX-related protein; Similar to SP:P11557 GB:Z19601 PID:41226 PID:43274 PID:606322; identified by sequence similarity; putative.,10.805802,10.272404,0.021050839,1.5730514397599136
Plate1_Drawer1 02-Oct-2025 11-48-52,C2,gshB,VC_0468,Glutathione synthetase; Similar to SP:P04425 GB:X01666 PID:41625 PID:882476 GB:U00096; identified by sequence similarity; putative.,5.8476467,2.7119625,0.009383944,0.701227472207944
Plate1_Drawer1 02-Oct-2025 11-48-52,C3,potB,VC_1427,"Spermidine/putrescine ABC transporter, permease protein; Similar to GB:M64519 SP:P23860 PID:147327 GB:U00096 PID:1651552; identified by sequence similarity; putative.",10.800946,2.3153274,0.0728024,5.440254430618046
Plate1_Drawer1 02-Oct-2025 11-48-52,C4,flgE,VC_2197,Flagellar hook protein FlgE; Similar to GB:X51737 SP:P16322 GB:X52093 PID:47673; identified by sequence similarity; putative.,7.012789,2.739275,0.029802414,2.2270243124761446
Plate1_Drawer1 02-Oct-2025 11-48-52,C5,glyQ,VC_0021,"glycyl-tRNA synthetase, alpha chain; Similar to SP:P00960 GB:J01622 PID:146222 PID:146225 PID:466698; identified by sequence similarity; putative.",11.541717,11.876931,0.016614622,1.2415493300845033
Plate1_Drawer1 02-Oct-2025 11-48-52,C6,VC_0462,VC_0462,Twitching motility protein PilT; Similar to SP:P24559 GB:X67095 PID:151490; identified by sequence similarity; putative.,10.967069,11.491836,0.010108665,0.7553831955249217
Plate1_Drawer1 02-Oct-2025 11-48-52,C7,flhA,VC_2069,"Flagellar biosynthetic protein FlhA; Required for formation of the rod structure of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin; Belongs to the FHIPEP (flagella/HR/invasion proteins export pore) family.",10.7498665,-2.186969,0.06793173,5.076287253058261
Plate1_Drawer1 02-Oct-2025 11-48-52,C8,VC_0399,VC_0399,MSHA biogenesis protein MshI; Similar to PID:791156 PID:791153; identified by sequence similarity; putative.,9.420514,5.66009,0.014060731,1.0507064893530778
Plate1_Drawer1 02-Oct-2025 11-48-52,C9,fliD,VC_2140,"Flagellar hook-associated protein FliD; FILAMENT CAP Required for the morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end (By similarity).",9.465957,6.591689,0.03236584,2.4185796685366796
Plate1_Drawer1 02-Oct-2025 11-48-52,D1,VC_0196,VC_0196,ATP-dependent DNA helicase RecQ; Similar to GB:M87049 SP:P15043 GB:M30198 PID:147559 PID:148221; identified by sequence similarity; putative.,9.739559,8.967975,0.013137487,0.981715875560929
