pc,explainedVarianceRatio,cumulativeExplainedVariance
PC1,0.3279539369220763,0.3279539369220763
PC2,0.08531510823637307,0.41326904515844937
PC3,0.08031325215500618,0.49358229731345554
PC4,0.05061078627088647,0.544193083584342
PC5,0.030393869674574997,0.5745869532589171
PC6,0.027397841297910914,0.601984794556828
PC7,0.021917854553690816,0.6239026491105187
PC8,0.020502926371239676,0.6444055754817584
PC9,0.017440783068503607,0.661846358550262
PC10,0.015598676522854767,0.6774450350731167
PC11,0.014784849201266473,0.6922298842743831
PC12,0.01298298619467683,0.70521287046906
PC13,0.012631599766854379,0.7178444702359144
PC14,0.012450248293594122,0.7302947185295084
PC15,0.012047902519311015,0.7423426210488194
PC16,0.01140733367168028,0.7537499547204997
PC17,0.011085075586127719,0.7648350303066274
PC18,0.01092210615005144,0.7757571364566788
PC19,0.00930202051520511,0.7850591569718839
PC20,0.008975214321408938,0.7940343712932928
PC21,0.008180247765723434,0.8022146190590163
PC22,0.007849628996142832,0.8100642480551591
PC23,0.007549726869274678,0.8176139749244338
PC24,0.007336984812281823,0.8249509597367156
PC25,0.00708363939773372,0.8320345991344493
PC26,0.0062525053598602946,0.8382871044943097
PC27,0.005688421683133972,0.8439755261774436
PC28,0.00554824158294541,0.8495237677603891
PC29,0.0050425111377727025,0.8545662788981617
PC30,0.00485614823985922,0.859422427138021
PC31,0.004375088555758743,0.8637975156937797
PC32,0.004209211134460671,0.8680067268282404
PC33,0.00405913817960881,0.8720658650078492
PC34,0.003987341246620823,0.87605320625447
PC35,0.003932118923660876,0.8799853251781309
PC36,0.003354161707053565,0.8833394868851845
PC37,0.003188229085944389,0.8865277159711289
PC38,0.0030687527076182952,0.8895964686787472
PC39,0.003047819935513832,0.892644288614261
PC40,0.0029471889083677325,0.8955914775226288
PC41,0.0027539717686192824,0.898345449291248
PC42,0.002614918336211557,0.9009603676274596
PC43,0.0024319343232873047,0.9033923019507468
PC44,0.0024001925142941908,0.9057924944650411
PC45,0.002233692757097952,0.908026187222139
PC46,0.0020923920178867153,0.9101185792400257
PC47,0.0020791960869320047,0.9121977753269577
PC48,0.0019958091700118035,0.9141935844969695
PC49,0.0019679166429169906,0.9161615011398865
PC50,0.0018982716167138523,0.9180597727566003
