mutant,peakFrame
VC_0113,20
VC_0134,11
VC_0161,15
VC_0196,14
VC_0289,12
VC_0399,16
VC_0405,12
VC_0419,12
VC_0449,12
VC_0462,12
VC_0745,17
VC_0900,23
VC_0929,17
VC_1003,28
VC_1154,12
VC_1291,13
VC_1295,12
VC_1319,12
VC_1320,11
VC_1350,12
VC_1359,22
VC_1414,12
VC_1423,12
VC_1462,13
VC_1498,13
VC_1581,12
VC_1652,11
VC_1710,12
VC_1885,24
VC_1887,15
VC_1909,13
VC_1933,13
VC_2224,12
VC_2270,20
VC_2271,25
VC_2311,13
VC_2441,15
VC_2453,13
VC_2485,23
VC_2522,13
VC_2523,13
VC_2524,12
VC_2627,12
VC_2714,11
VC_2718; VC_2719,17
VC_2756,22
VC_A0001,12
VC_A0005,12
VC_A0079,14
VC_A0146,13
VC_A0171,22
VC_A0187,17
VC_A0328,12
VC_A0340,12
VC_A0527,11
VC_A0536,11
VC_A0588,12
VC_A0620,11
VC_A0726,13
VC_A0759,13
VC_A0785,24
VC_A0800,24
VC_A0840,13
VC_A0940,14
VC_A0999,13
VC_A1081,15
VC_A1099,11
WT,11
argF,13
argH,11
argR,13
aroE,12
aroQ,15
bioA,15
bioC,16
bioD,14
bioF,16
cdgJ,15
cheW,13
dnaN,12
ectA,12
epsC,12
fadR,30
flaA,16
flgA,12
flgB,15
flgD,12
flgE,11
flgF,16
flgK,13
flgM,12
flgO,23
flgP,16
flgT,15
flhA,17
flhB,16
flhG,23
fliA,15
fliD,12
fliE,13
fliJ,13
fliL,17
fliP,15
fliQ,15
fliR,17
fliS,15
flrA,14
flrB,16
glmS,12
glyA1,21
glyQ,12
greA,13
groS2,11
grx,11
gshB,19
guaB,12
hslO,13
lexA,15
lipA,30
lpxM,15
manA,24
manB,22
manC,23
mltF,15
mrcA,30
mutH,13
nfuA,18
nusB,12
pabC,16
pckA,23
pdhE2,29
pilC,12
potA,24
potB,23
potC,13
potD1,24
proQ,11
pstB1,12
pta,11
recO,26
rimO,11
rjg,12
rluD,14
rluE,19
rsmJ,14
thiI,12
trmJ,11
trpR,15
ung,13
vibB,23
wavA,30
wavL,30
wbeG,28
wbeL,27
wbeM,30
wbeN,30
wbeT,24
wzt,12
