plateId,wellId,mutant,geneLocus,function,umap1,umap2,functionalGroup,dotColor
Plate1_Drawer1 02-Oct-2025 11-48-52,A1,ung,VC_2359,uracil-DNA glycosylase; Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine.,9.920667,5.550646,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,A10,VC_1462,VC_1462,RstB2 protein; Similar to GP:2564358; identified by sequence similarity; putative.,9.801608,10.0764475,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,A12,wavA,VC_0223,"ADP-heptose--LPS heptosyltransferase II, putative; Similar to GB:L42023 SP:P44011 PID:1003930 PID:1222457 PID:1204774; identified by sequence similarity; putative.",10.397648,9.332003,O-Antigen Biosynthesis,#0096ff
Plate1_Drawer1 02-Oct-2025 11-48-52,A2,VC_2453,VC_2453,Sensor histidine kinase/response regulator; Similar to GB:D10888 SP:P26607 PID:216535 PID:882680 GB:U00096; identified by sequence similarity; putative.,6.6370077,2.7476828,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,A3,VC_2311,VC_2311,HesA/MoeB/ThiF family protein; Similar to GB:D21145 PID:471103 PID:882707 GB:U00096 SP:Q46927; identified by sequence similarity; putative.,9.843948,5.2498274,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,A4,lipA,VC_0943,"Lipoic acid synthetase; Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives.",4.5107336,1.2138515,Pyruvate Flux,#39ff14
Plate1_Drawer1 02-Oct-2025 11-48-52,A5,rsmJ,VC_0073,Conserved hypothetical protein; Specifically methylates the guanosine in position 1516 of 16S rRNA.,9.65115,5.665912,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,A6,potC,VC_1426,"Spermidine/putrescine ABC transporter, permease protein; Similar to GB:M64519 SP:P23859 PID:147328 GB:U00096 PID:1651551; identified by sequence similarity; putative.",7.9196067,6.871411,Polyamine Import,#14f7f0
Plate1_Drawer1 02-Oct-2025 11-48-52,A7,pckA,VC_2738,Phosphoenolpyruvate carboxykinase; Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA. Belongs to the phosphoenolpyruvate carboxykinase (ATP) family.,9.507792,1.5114304,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,A8,rluD,VC_0709,"Ribosomal large subunit pseudouridine synthase D; Responsible for synthesis of pseudouridine from uracil at positions 1911, 1915 and 1917 in 23S ribosomal RNA; Belongs to the pseudouridine synthase RluA family.",7.327121,5.736334,Unclassified,#ff00c3
