,WT + DMSO,$\mathit{bioD}$ transposon,$\Delta\mathit{bioD}$,100 $\mu$M MAC137,$\Delta\mathit{bioD}$ + 100 $\mu$M biotin
biomass,0.0,0.5755300432309391,0.5457545585183768,0.6481386259211156,-0.07482929972553012
colony_area_um2_mean,0.0,0.49269948987002515,0.19993433667891372,0.5709744429533548,-0.3710988830031537
colony_area_um2_std,0.0,0.40680636362751105,0.29199384930134203,0.6745351371164836,-0.35552518584501414
colony_bgCV,0.0,0.7056632192243665,0.7780559519872456,0.6388853075018597,-0.047818282005667095
colony_centroidOffset_um_mean,0.0,0.981880155812906,2.2316862708664633,2.515757307937805,-0.3372523509075291
colony_eccentricity_mean,0.0,-1.1580393231682802,0.23032374193751293,1.0023990379290695,0.1633074482819888
colony_majorAxisLength_um_mean,0.0,-0.11816943067672467,0.782175652348661,2.1013510489273903,-0.3183477152175145
colony_meanIntensity_kurtosis,0.0,0.028805171087454715,0.05127767136006015,0.09122310655873432,0.06281803980220552
colony_meanIntensity_mean,0.0,-2.156156424596839,-2.7549267479815183,-0.7429126196210944,0.2952881319360484
colony_mstEdgeMax_um_mean,0.0,-0.7797840584352855,-1.0130704786724927,-0.5608923157237599,-0.5513321325558336
colony_nnDistance1_um_mean,0.0,-0.11709407927731293,-0.5147579394478318,-0.2675636406926433,-0.8635963623339488
colony_nnDistance1_um_std,0.0,-0.8894851362381115,-0.8339010790667305,-0.314699387774584,-0.07250877127103575
nColonies,0.0,1.2355017883861787,1.5936182487879695,0.6147665903564078,0.6028293750096814
whole_entropy,0.0,0.9353935410220857,1.0824672321289035,0.8787915957246131,-0.11315321916023564
whole_haralick_0,0.0,-0.23868759663388606,-0.21984755822401064,-0.3112288073114024,0.045242721475475506
whole_haralick_1,0.0,0.08722295364922798,0.00659005391606065,0.3502053324249715,-0.02773863400284883
whole_haralick_2,0.0,1.2097117288030201,1.5780802902693893,0.9212713697331969,-0.36347001576513227
whole_haralick_3,0.0,1.217173672159838,1.5397518804835801,0.8993876409510969,-0.08138124506975009
whole_haralick_4,0.0,-0.020453734024275565,0.11850582724194159,-0.2221178240421535,0.09849362206737752
whole_haralick_5,0.0,0.03744758857136318,0.2651855596347562,-0.18429846915006703,-0.10195359239462237
whole_haralick_6,0.0,1.3237149320066297,1.657231235098459,0.9785204872578398,-0.061415981414391606
whole_haralick_7,0.0,1.0622145752797478,1.131098382185675,1.0066440692335041,-0.11813697961371401
whole_haralick_8,0.0,0.53874423640539,0.5778995766913284,0.5606684099397885,-0.08545461559313558
whole_haralick_9,0.0,-0.1307597872952488,-0.07236129408556811,-0.282060470053155,0.04763832939293187
whole_haralick_10,0.0,0.08177327535769097,-0.01616572761514253,0.3194211833507125,-0.03919907395769473
whole_haralick_11,0.0,-0.9640381683238906,-1.374817448788562,-0.7984729282497106,0.2819904558880964
whole_haralick_12,0.0,1.2227737463474113,1.5064754266597116,1.0247785834488987,-0.39552387500495273
