species,plateId,wellId,LB_condition,umap1,umap2
S. aureus,260624_Drawer6,A1,100% LB,16.450197,11.664375
A. baumannii,260624_Drawer6,A2,100% LB,13.438652,7.346718
S. aureus,260624_Drawer6,A4,100% LB,16.439713,11.847191
A. baumannii,260624_Drawer6,A5,100% LB,13.23941,6.5829005
A. baylyi,260624_Drawer6,B1,100% LB,0.2750152,11.7099
P. aeruginosa,260624_Drawer6,B2,100% LB,-9.036846,6.8411174
A. baylyi,260624_Drawer6,B4,100% LB,-0.015320754,11.589027
P. aeruginosa,260624_Drawer6,B5,100% LB,-9.479732,6.1687226
K. pneumoniae,260624_Drawer6,C1,100% LB,2.292895,-1.2161617
S. aureus,260624_Drawer6,C3,100% LB,16.808952,13.100667
K. pneumoniae,260624_Drawer6,C4,100% LB,2.228121,-1.4396125
S. aureus,260624_Drawer6,C6,100% LB,17.104641,13.321392
A. baumannii,260624_Drawer6,D1,100% LB,13.380925,7.018634
V. cholerae,260624_Drawer6,D2,100% LB,6.5923185,-13.611646
A. baylyi,260624_Drawer6,D3,100% LB,-1.1362593,11.584384
A. baumannii,260624_Drawer6,D4,100% LB,13.531599,7.3775253
V. cholerae,260624_Drawer6,D5,100% LB,6.548555,-13.749799
A. baylyi,260624_Drawer6,D6,100% LB,0.59696126,11.669581
P. aeruginosa,260624_Drawer6,E1,100% LB,-8.679033,7.068524
K. pneumoniae,260624_Drawer6,E3,100% LB,2.7364883,-1.764514
P. aeruginosa,260624_Drawer6,E4,100% LB,-9.088724,6.5265927
K. pneumoniae,260624_Drawer6,E6,100% LB,2.7111366,-1.8989794
E. faecalis,260624_Drawer6,F1,100% LB,1.7035639,-4.5539417
S. aureus,260624_Drawer6,F2,100% LB,17.16215,13.048894
A. baumannii,260624_Drawer6,F3,100% LB,12.773409,6.410128
E. faecalis,260624_Drawer6,F4,100% LB,2.1458638,-4.0034733
S. aureus,260624_Drawer6,F5,100% LB,17.10339,12.861987
A. baumannii,260624_Drawer6,F6,100% LB,13.544678,7.3782606
V. cholerae,260624_Drawer6,G1,100% LB,6.184652,-12.5306425
A. baylyi,260624_Drawer6,G2,100% LB,-1.5795934,11.335514
P. aeruginosa,260624_Drawer6,G3,100% LB,-9.459285,6.1220202
V. cholerae,260624_Drawer6,G4,100% LB,6.3050966,-12.445015
A. baylyi,260624_Drawer6,G5,100% LB,0.77615094,11.52166
P. aeruginosa,260624_Drawer6,G6,100% LB,-8.809631,6.413761
E. coli,260624_Drawer6,H1,100% LB,17.348732,2.5471468
E. faecalis,260624_Drawer6,H3,100% LB,2.0945485,-4.059825
E. coli,260624_Drawer6,H4,100% LB,17.041397,2.636301
E. faecalis,260624_Drawer6,H6,100% LB,2.1289432,-4.02076
S. aureus,260624_Drawer7,A1,100% LB,16.45547,11.701523
A. baumannii,260624_Drawer7,A2,100% LB,13.474556,7.216987
S. aureus,260624_Drawer7,A4,100% LB,16.360266,11.78469
A. baumannii,260624_Drawer7,A5,100% LB,13.137528,6.59119
A. baylyi,260624_Drawer7,B1,100% LB,0.12441077,11.621547
P. aeruginosa,260624_Drawer7,B2,100% LB,-8.928377,6.488786
A. baylyi,260624_Drawer7,B4,100% LB,0.70794547,11.522201
P. aeruginosa,260624_Drawer7,B5,100% LB,-9.079456,6.219116
K. pneumoniae,260624_Drawer7,C1,100% LB,2.2696013,-1.0634435
S. aureus,260624_Drawer7,C3,100% LB,16.847746,13.22438
