geneLocus,chromosome,phenotype
VC_0013,I,Dispersal Defect
VC_0021,I,Dispersal Defect
VC_0056,I,High Biofilm
VC_0073,I,Dispersal Defect
VC_0092,I,Dispersal Defect
VC_0113,I,High Biofilm
VC_0134,I,High Biofilm
VC_0137,I,High Biofilm
VC_0161,I,Dispersal Defect
VC_0196,I,Dispersal Defect
VC_0212,I,High Biofilm
VC_0223,I,Dispersal Defect
VC_0239,I,High Biofilm
VC_0241,I,High Biofilm
VC_0242,I,High Biofilm
VC_0245,I,High Biofilm
VC_0247,I,Dispersal Defect
VC_0249,I,High Biofilm
VC_0250,I,Dispersal Defect
VC_0251,I,Dispersal Defect
VC_0259,I,High Biofilm
VC_0264,I,High Biofilm
VC_0269,I,High Biofilm
VC_0289,I,High Biofilm
VC_0297,I,High Biofilm
VC_0399,I,Dispersal Defect
VC_0405,I,High Biofilm
VC_0419,I,Dispersal Defect
VC_0431,I,Dispersal Defect
VC_0449,I,High Biofilm
VC_0462,I,Dispersal Defect
VC_0468,I,High Biofilm
VC_0487,I,High Biofilm
VC_0634,I,High Biofilm
VC_0668,I,High Biofilm
VC_0701,I,Dispersal Defect
VC_0709,I,Dispersal Defect
VC_0726,I,High Biofilm
VC_0745,I,High Biofilm
VC_0746,I,High Biofilm
VC_0767,I,High Biofilm
VC_0771,I,Dispersal Defect
VC_0866,I,High Biofilm
VC_0894,I,High Biofilm
VC_0900,I,High Biofilm
VC_0929,I,Dispersal Defect
VC_0941,I,High Biofilm
VC_0943,I,Dispersal Defect
VC_1003,I,High Biofilm
VC_1097,I,High Biofilm
VC_1111,I,High Biofilm
VC_1113,I,High Biofilm
VC_1114,I,High Biofilm
VC_1115,I,High Biofilm
VC_1140,I,High Biofilm
VC_1146,I,High Biofilm
VC_1154,I,High Biofilm
VC_1291,I,Dispersal Defect
VC_1295,I,High Biofilm
VC_1319,I,High Biofilm
VC_1320,I,High Biofilm
VC_1350,I,High Biofilm
VC_1359,I,High Biofilm
VC_1414,I,High Biofilm
VC_1423,I,High Biofilm
VC_1424,I,High Biofilm
VC_1426,I,Dispersal Defect
VC_1427,I,High Biofilm
VC_1428,I,High Biofilm
VC_1462,I,Dispersal Defect
VC_1497,I,High Biofilm
VC_1498,I,Dispersal Defect
VC_1581,I,High Biofilm
VC_1652,I,High Biofilm
VC_1710,I,High Biofilm
VC_1885,I,High Biofilm
VC_1887,I,High Biofilm
VC_1900,I,High Biofilm
VC_1909,I,High Biofilm
VC_1933,I,Dispersal Defect
VC_2018,I,Dispersal Defect
VC_2059,I,High Biofilm
VC_2066,I,High Biofilm
VC_2067,I,High Biofilm
VC_2069,I,High Biofilm
VC_2120,I,High Biofilm
VC_2121,I,High Biofilm
VC_2122,I,High Biofilm
VC_2123,I,High Biofilm
VC_2129,I,High Biofilm
VC_2130,I,High Biofilm
VC_2134,I,High Biofilm
VC_2136,I,High Biofilm
VC_2137,I,High Biofilm
VC_2138,I,High Biofilm
VC_2140,I,High Biofilm
VC_2188,I,High Biofilm
VC_2191,I,High Biofilm
VC_2196,I,High Biofilm
VC_2197,I,High Biofilm
VC_2198,I,High Biofilm
VC_2200,I,High Biofilm
VC_2203,I,High Biofilm
VC_2204,I,High Biofilm
VC_2206,I,High Biofilm
VC_2207,I,High Biofilm
VC_2208,I,High Biofilm
VC_2224,I,High Biofilm
VC_2267,I,High Biofilm
VC_2270,I,High Biofilm
VC_2271,I,High Biofilm
VC_2311,I,Dispersal Defect
VC_2359,I,High Biofilm
VC_2413,I,High Biofilm
VC_2425,I,Dispersal Defect
VC_2441,I,High Biofilm
VC_2453,I,Dispersal Defect
VC_2459,I,Dispersal Defect
VC_2485,I,High Biofilm
VC_2508,I,Dispersal Defect
VC_2522,I,Dispersal Defect
VC_2523,I,High Biofilm
VC_2524,I,High Biofilm
VC_2620,I,High Biofilm
VC_2627,I,High Biofilm
VC_2635,I,High Biofilm
VC_2641,I,High Biofilm
VC_2714,I,High Biofilm
VC_2718; VC_2719,I,High Biofilm
VC_2720,I,Dispersal Defect
VC_2734,I,High Biofilm
VC_2736,I,Dispersal Defect
VC_2738,I,High Biofilm
VC_2756,I,High Biofilm
VC_A0001,II,High Biofilm
VC_A0005,II,High Biofilm
VC_A0079,II,High Biofilm
VC_A0146,II,High Biofilm
VC_A0171,II,High Biofilm
VC_A0187,II,Dispersal Defect
VC_A0328,II,Dispersal Defect
VC_A0340,II,High Biofilm
VC_A0527,II,High Biofilm
VC_A0536,II,High Biofilm
VC_A0588,II,High Biofilm
VC_A0620,II,High Biofilm
VC_A0726,II,High Biofilm
VC_A0759,II,Dispersal Defect
VC_A0785,II,High Biofilm
VC_A0800,II,High Biofilm
VC_A0819,II,High Biofilm
VC_A0825,II,Dispersal Defect
VC_A0840,II,High Biofilm
VC_A0940,II,High Biofilm
VC_A0999,II,Dispersal Defect
VC_A1081,II,Dispersal Defect
VC_A1099,II,High Biofilm
