geneLocus,geneName
VC_2359,ung
VC_1462,VC_1462
VC_0034,dsbA
VC_0223,wavA
VC_2453,VC_2453
VC_2311,VC_2311
VC_0943,lipA
VC_0073,rsmJ
VC_1426,potC
VC_2738,pckA
VC_0709,rluD
VC_2200,flgB
VC_2206,flgP
VC_2122,fliQ
VC_2508,argF
VC_2138,fliS
VC_A1081,VC_A1081
VC_1909,VC_1909
VC_0449,VC_0449
VC_1498,VC_1498
VC_2756,VC_2756
VC_0113,VC_0113
VC_1423,VC_1423
VC_A0588,VC_A0588
VC_2734,epsC
VC_1497,proQ
VC_2627,VC_2627
VC_0468,gshB
VC_1427,potB
VC_2197,flgE
VC_0021,glyQ
VC_0462,VC_0462
VC_2069,flhA
VC_0399,VC_0399
VC_2140,fliD
VC_0196,VC_0196
VC_2270,VC_2270
VC_2718; VC_2719,
VC_0245,wbeG
VC_1933,VC_1933
VC_A0001,VC_A0001
VC_1900,fadR
VC_2425,pilC
VC_1097,pta
VC_A0800,VC_A0800
VC_0247,wzt
VC_0250,wbeM
VC_A0759,VC_A0759
VC_A0620,VC_A0620
VC_0746,trmJ
VC_A0785,VC_A0785
VC_2134,fliE
VC_1581,VC_1581
VC_2123,fliP
VC_0212,lpxM
VC_2714,VC_2714
VC_1154,VC_1154
VC_1173,trpG
VC_0137,cdgJ
VC_2459,recO
VC_A0999,VC_A0999
VC_2224,VC_2224
VC_A1099,VC_A1099
VC_1320,VC_1320
VC_1319,VC_1319
VC_A0536,VC_A0536
VC_1414,VC_1414
VC_A0527,VC_A0527
VC_2641,argH
VC_0767,guaB
VC_1140,rluE
VC_2524,VC_2524
VC_0900,VC_0900
VC_A0171,VC_A0171
VC_2129,fliJ
VC_0161,VC_0161
VC_0405,VC_0405
VC_1295,VC_1295
VC_0241,manC
VC_2067,flhG
VC_0701,trpR
VC_0634,greA
VC_0419,VC_0419
VC_A0940,VC_A0940
VC_A0825,ectA
VC_A0840,VC_A0840
VC_1797,VC_1797
VC_2522,VC_2522
VC_0487,glmS
VC_0269,manA
VC_2267,nusB
VC_0771,vibB
VC_1887,VC_1887
VC_2198,flgD
VC_0772,vibE
VC_0291,dusB
VC_2191,flgK
VC_2523,VC_2523
VC_2121,fliR
VC_0431,argR
VC_2136,flrB
VC_0264,rjg
VC_2066,fliA
VC_2204,flgM
VC_2137,flrA
VC_1291,VC_1291
VC_0894,thiI
VC_2120,flhB
VC_0056,aroE
VC_0251,wbeN
VC_0249,wbeL
VC_0726,pstB1
VC_2111,VC_2111
VC_0185,VC_0185
VC_A0146,VC_A0146
VC_0289,VC_0289
VC_A0005,VC_A0005
VC_A1031,
VC_0866,mltF
VC_A0726,VC_A0726
VC_1885,VC_1885
VC_2196,flgF
VC_2441,VC_2441
VC_1710,VC_1710
VC_0297,aroQ
VC_1359,VC_1359
VC_A0328,VC_A0328
VC_1350,VC_1350
VC_0242,manB
VC_2635,mrcA
VC_A0079,VC_A0079
VC_1428,potA
VC_A0340,VC_A0340
VC_1115,bioD
VC_2188,flaA
VC_0239,wavL
VC_0745,VC_0745
VC_2485,VC_2485
VC_2620,rimO
VC_1111,bioA
VC_0259,wbeT
VC_0929,VC_0929
VC_2208,flgT
VC_0941,glyA1
VC_1003,VC_1003
VC_2203,flgA
VC_A0187,VC_A0187
VC_1652,VC_1652
VC_2130,fliL
VC_2413,pdhE2
VC_0134,VC_0134
VC_1146,grx
VC_2059,cheW
VC_2720,nfuA
VC_A0819,groS2
VC_1424,potD1
VC_1113,bioF
WT,
VC_2207,flgO
VC_2736,hslO
VC_1114,bioC
VC_0013,dnaN
VC_0668,mutH
VC_2018,pabC
VC_0092,lexA
VC_2271,VC_2271
