plateID,plateLabel,wellId,geneLocus
241025_172133_Plate 1,TN-Plate02,A1,VC_A0494
241025_172133_Plate 1,TN-Plate02,A11,VC_1843
241025_172133_Plate 1,TN-Plate02,A12,VC_0566
241025_172133_Plate 1,TN-Plate02,A2,VC_A0310
241025_172133_Plate 1,TN-Plate02,A3,VC_2536
241025_172133_Plate 1,TN-Plate02,A4,VC_A0107
241025_172133_Plate 1,TN-Plate02,A5,VC_2327
241025_172133_Plate 1,TN-Plate02,A6,VC_2516
241025_172133_Plate 1,TN-Plate02,A7,VC_A0766
241025_172133_Plate 1,TN-Plate02,A8,VC_2269
241025_172133_Plate 1,TN-Plate02,A9,VC_1426
241025_172133_Plate 1,TN-Plate02,B1,VC_2075
241025_172133_Plate 1,TN-Plate02,B10,VC_A0112
241025_172133_Plate 1,TN-Plate02,B11,VC_A0589
241025_172133_Plate 1,TN-Plate02,B2,VC_0054
241025_172133_Plate 1,TN-Plate02,B3,VC_A0355
241025_172133_Plate 1,TN-Plate02,B4,VC_0470
241025_172133_Plate 1,TN-Plate02,B5,VC_A0773
241025_172133_Plate 1,TN-Plate02,B6,VC_1323
241025_172133_Plate 1,TN-Plate02,B7,VC_1329
241025_172133_Plate 1,TN-Plate02,B8,VC_A0257
241025_172133_Plate 1,TN-Plate02,B9,VC_A0080
241025_172133_Plate 1,TN-Plate02,C1,VC_2643
241025_172133_Plate 1,TN-Plate02,C10,VC_2674
241025_172133_Plate 1,TN-Plate02,C11,VC_1480
241025_172133_Plate 1,TN-Plate02,C12,VC_1198
241025_172133_Plate 1,TN-Plate02,C2,VC_0287
241025_172133_Plate 1,TN-Plate02,C3,VC_2307
241025_172133_Plate 1,TN-Plate02,C4,VC_1822
241025_172133_Plate 1,TN-Plate02,C5,VC_1101
241025_172133_Plate 1,TN-Plate02,C6,VC_A0166
241025_172133_Plate 1,TN-Plate02,C7,VC_2370
241025_172133_Plate 1,TN-Plate02,C8,VC_1229
241025_172133_Plate 1,TN-Plate02,C9,VC_A1032
241025_172133_Plate 1,TN-Plate02,D1,VC_A0096
241025_172133_Plate 1,TN-Plate02,D10,VC_1401
241025_172133_Plate 1,TN-Plate02,D11,VC_1204
241025_172133_Plate 1,TN-Plate02,D12,VC_2098
241025_172133_Plate 1,TN-Plate02,D2,VC_A0834
241025_172133_Plate 1,TN-Plate02,D3,VC_A0809
241025_172133_Plate 1,TN-Plate02,D4,VC_0099
241025_172133_Plate 1,TN-Plate02,D5,VC_0283
241025_172133_Plate 1,TN-Plate02,D6,VC_A1097
241025_172133_Plate 1,TN-Plate02,D7,VC_1321
241025_172133_Plate 1,TN-Plate02,D8,VC_2738
241025_172133_Plate 1,TN-Plate02,D9,VC_2682
241025_172133_Plate 1,TN-Plate02,E1,VC_A1075
241025_172133_Plate 1,TN-Plate02,E10,VC_1695
241025_172133_Plate 1,TN-Plate02,E11,VC_2727
241025_172133_Plate 1,TN-Plate02,E12,VC_1543
241025_172133_Plate 1,TN-Plate02,E2,VC_0175
241025_172133_Plate 1,TN-Plate02,E3,VC_2187
241025_172133_Plate 1,TN-Plate02,E4,VC_A0217
241025_172133_Plate 1,TN-Plate02,E5,VC_A0432
241025_172133_Plate 1,TN-Plate02,E6,VC_1824
241025_172133_Plate 1,TN-Plate02,E7,VC_1788
241025_172133_Plate 1,TN-Plate02,E8,VC_1668
241025_172133_Plate 1,TN-Plate02,E9,VC_1091
241025_172133_Plate 1,TN-Plate02,F1,VC_A0676
241025_172133_Plate 1,TN-Plate02,F10,VC_0654
241025_172133_Plate 1,TN-Plate02,F11,VC_A0265
241025_172133_Plate 1,TN-Plate02,F12,VC_0494
241025_172133_Plate 1,TN-Plate02,F2,VC_2368
241025_172133_Plate 1,TN-Plate02,F3,VC_2495
241025_172133_Plate 1,TN-Plate02,F4,VC_0276
241025_172133_Plate 1,TN-Plate02,F5,VC_A0782
241025_172133_Plate 1,TN-Plate02,F6,VC_1259
241025_172133_Plate 1,TN-Plate02,F7,VC_2601
241025_172133_Plate 1,TN-Plate02,F8,VC_1243
241025_172133_Plate 1,TN-Plate02,F9,VC_2609
241025_172133_Plate 1,TN-Plate02,G1,VC_0709
241025_172133_Plate 1,TN-Plate02,G10,VC_2077
241025_172133_Plate 1,TN-Plate02,G11,VC_0771
241025_172133_Plate 1,TN-Plate02,G12,VC_1458
241025_172133_Plate 1,TN-Plate02,G2,VC_1639
241025_172133_Plate 1,TN-Plate02,G3,VC_A0313
241025_172133_Plate 1,TN-Plate02,G4,VC_0221
241025_172133_Plate 1,TN-Plate02,G5,VC_A0512
241025_172133_Plate 1,TN-Plate02,G6,VC_A0417
241025_172133_Plate 1,TN-Plate02,G7,VC_1674
241025_172133_Plate 1,TN-Plate02,G8,VC_A0843
241025_172133_Plate 1,TN-Plate02,G9,VC_0271
241025_172133_Plate 1,TN-Plate02,H1,VC_1573
241025_172133_Plate 1,TN-Plate02,H10,VC_0856
241025_172133_Plate 1,TN-Plate02,H11,VC_1800
241025_172133_Plate 1,TN-Plate02,H12,VC_1608
241025_172133_Plate 1,TN-Plate02,H2,VC_1733
241025_172133_Plate 1,TN-Plate02,H3,VC_0055
241025_172133_Plate 1,TN-Plate02,H4,VC_1338
241025_172133_Plate 1,TN-Plate02,H5,VC_A0880
241025_172133_Plate 1,TN-Plate02,H6,VC_1275
241025_172133_Plate 1,TN-Plate02,H7,VC_1893
241025_172133_Plate 1,TN-Plate02,H8,VC_1085
241025_172133_Plate 1,TN-Plate02,H9,VC_A0220
241029_150913_Plate 1,TN-Plate03,A1,VC_1776
241029_150913_Plate 1,TN-Plate03,A10,VC_A0049
241029_150913_Plate 1,TN-Plate03,A11,VC_2286
241029_150913_Plate 1,TN-Plate03,A12,VC_1746
241029_150913_Plate 1,TN-Plate03,A2,VC_0481
241029_150913_Plate 1,TN-Plate03,A3,VC_A0977
241029_150913_Plate 1,TN-Plate03,A4,VC_A0920
241029_150913_Plate 1,TN-Plate03,A5,VC_A0349
241029_150913_Plate 1,TN-Plate03,A6,VC_A0931
241029_150913_Plate 1,TN-Plate03,A7,VC_1534
241029_150913_Plate 1,TN-Plate03,A8,VC_0278
241029_150913_Plate 1,TN-Plate03,A9,VC_A0737
241029_150913_Plate 1,TN-Plate03,B1,VC_0469
241029_150913_Plate 1,TN-Plate03,B10,VC_1950
241029_150913_Plate 1,TN-Plate03,B11,VC_A0221
241029_150913_Plate 1,TN-Plate03,B12,VC_1462
