geneLocus,chromosome,peak,phenotype,isHit
VC_0001,I,0.5312407743977069,Normal,False
VC_0002,I,0.31217431637185017,Normal,False
VC_0003,I,0.3203587377643876,Normal,False
VC_0005/VC_0006,I,0.33180371948363263,Normal,False
VC_0008,I,0.7591042816324629,Normal,False
VC_0009,I,0.7023851980991769,Normal,False
VC_0010,I,0.5966849808021926,Normal,False
VC_0011,I,0.34666610842852214,Normal,False
VC_0013,I,2.6219429932361953,High Biofilm,True
VC_0014,I,0.5558092865576489,Normal,False
VC_0016,I,0.852155762570106,Normal,False
VC_0017,I,0.4332078378223819,Normal,False
VC_0018,I,0.3734160985937547,Normal,False
VC_0019,I,0.8157744111172169,Normal,False
VC_0021,I,0.7695916164965808,Dispersal Defect,True
VC_0022,I,0.780085772826478,Normal,False
VC_0023,I,0.4374393334870625,Normal,False
VC_0025,I,0.5535549593104653,Normal,False
VC_0026,I,0.4856859558914354,Normal,False
VC_0027,I,0.41167256398591673,Normal,False
VC_0028,I,0.4993469442706936,Normal,False
VC_0029,I,0.8152745046789982,Normal,False
VC_0030,I,0.636739959085556,Normal,False
VC_0031,I,0.6153173464378298,Normal,False
VC_0033,I,0.754789002317508,Normal,False
VC_0034,I,0.618413489376128,Dispersal Defect,True
VC_0035,I,0.7880479615642727,Normal,False
VC_0036,I,0.3521317945085543,Normal,False
VC_0037,I,0.859301314850765,Normal,False
VC_0038,I,0.631198387542588,Normal,False
VC_0039,I,0.4846507917717546,Normal,False
VC_0040,I,1.0659970112477763,Normal,False
VC_0041,I,0.6466312182193938,Normal,False
VC_0042,I,0.6037009921101654,Normal,False
VC_0043,I,0.7984048191760877,Normal,False
VC_0044,I,0.6567708589601273,Normal,False
VC_0046,I,0.5408402486767022,Normal,False
VC_0047,I,0.40266490536494565,Normal,False
VC_0048,I,0.4928571689213044,Normal,False
VC_0049,I,0.4741859343061497,Normal,False
VC_0050,I,0.4112961327660101,Normal,False
VC_0051,I,0.6484292763462101,Normal,False
VC_0053,I,0.48488766382707593,Normal,False
VC_0054,I,0.8045998470144186,Normal,False
