mutant,geneLocus,nReplicates,meanWithin,meanToOtherMutants,nullMeanWithin,nullSdWithin,p,qBH,pBonferroni,withinMinusOthers
VC_1885,VC_1885,24,9.668611,19.338278,22.072424799537657,2.0676615126516036,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.669667
flgD,VC_2198,21,9.734071,20.013784,22.08396598730087,2.2261598024970053,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-10.279714
VC_1414,VC_1414,24,10.702105,20.955355,22.048268350887298,2.071376306116719,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-10.25325
mltF,VC_0866,24,10.737649,18.5406,22.117327295780182,2.0862303012008714,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.802951
VC_1154,VC_1154,18,10.777978,20.962082,22.11410956106186,2.4067315695206397,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-10.184104
VC_A0726,VC_A0726,24,10.999573,18.495356,22.09563803834915,2.068520153960238,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.495783
VC_A0328,VC_A0328,24,11.00143,18.835953,22.095327481555938,2.071313697549314,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.834523
VC_0419,VC_0419,21,11.250589,19.245222,22.069984509468078,2.214413351797276,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.9946327
VC_0134,VC_0134,24,11.27254,20.607967,22.085286704826355,2.0913148206626473,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.335427
argR,VC_0431,24,11.273485,18.304577,22.071105463027955,2.084694320942194,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.0310917
mutH,VC_0668,24,11.42832,19.257229,22.08668975248337,2.0597904090626913,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.828909
VC_0289,VC_0289,24,11.449286,20.92951,22.109897767066954,2.0701780876881584,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.480224
WT,WT,24,11.517597,21.410097,22.05603479652405,2.083086346366468,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.8925
pstB1,VC_0726,24,11.520989,20.083672,22.08323449344635,2.0507692104724766,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.562682
aroE,VC_0056,21,11.724572,19.803768,22.091328622341155,2.234232546033405,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.079196
manB,VC_0242,24,11.725121,19.160648,22.102576275730133,2.068554288637485,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.435528
VC_1359,VC_1359,24,11.725588,27.42522,22.097358117580413,2.085901393058724,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-15.699633
VC_1909,VC_1909,24,11.874075,18.934208,22.096242145824434,2.101879745139701,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.060133
grx,VC_1146,23,11.881743,22.133293,22.10845812301636,2.126671923201801,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-10.25155
fliA,VC_2066,24,11.936401,20.891102,22.104560593509675,2.085037671697128,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.9547
VC_0405,VC_0405,24,11.948029,19.835997,22.093445591068267,2.08704073012324,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.887968
VC_1319,VC_1319,24,11.987886,21.821417,22.059852822589875,2.0765742510311,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.83353
VC_0929,VC_0929,21,12.014686,18.804752,22.042896115493775,2.201888651159102,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.7900667
VC_2453,VC_2453,23,12.032585,18.165384,22.063094691848754,2.1325868382858517,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.132799
rjg,VC_0264,24,12.109315,20.419764,22.070636982917787,2.1001191495777,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.310449
VC_1652,VC_1652,24,12.13515,20.639374,22.097162010288237,2.069791535650506,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.504224
VC_1423,VC_1423,24,12.160045,18.430218,22.08124805021286,2.055938625352346,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.270173
VC_2311,VC_2311,24,12.176413,18.203922,22.1075596575737,2.0582163239810045,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.0275097
flrA,VC_2137,24,12.242225,22.046848,22.06689340696335,2.077049260061527,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.804624
VC_A0785,VC_A0785,24,12.273138,21.115768,22.08546481819153,2.0902408393211815,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.84263
glyQ,VC_0021,23,12.429977,20.342844,22.11313110294342,2.122709343955264,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.9128666
VC_0745,VC_0745,24,12.455426,19.860819,22.085856639385224,2.0730057894721594,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.4053926
VC_A0527,VC_A0527,23,12.494015,22.51743,22.10808966398239,2.1251545929516333,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-10.023415
VC_2522,VC_2522,24,12.513258,19.278662,22.053590862751008,2.069418676427869,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.7654037
VC_0449,VC_0449,24,12.517649,19.409586,22.0739324672699,2.1184822753044807,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.8919373
argH,VC_2641,24,12.606741,22.143198,22.067851434516907,2.1129480879236158,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.536457
pta,VC_1097,20,12.620932,22.58874,22.08272245349884,2.300996233329908,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.967808
VC_A1081,VC_A1081,24,12.65434,18.830383,22.049002624320984,2.0966929956970857,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.1760435
VC_A0536,VC_A0536,24,12.668804,20.450626,22.10011254615784,2.0876564237044986,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.781822
flhG,VC_2067,24,12.710282,21.898632,22.06682322092056,2.087173688338301,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.18835
VC_1710,VC_1710,24,12.716105,20.538507,22.053441209220885,2.1041239309634636,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.822402
VC_1581,VC_1581,24,12.756531,20.646729,22.09571383743286,2.0934845892264184,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.8901978
VC_1291,VC_1291,24,12.7877445,18.724174,22.09000409154892,2.0830383919473365,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.93643
rluD,VC_0709,24,12.797788,18.848452,22.10968899459839,2.08165060408441,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.050664
VC_2524,VC_2524,24,12.803363,20.241234,22.100982857990264,2.093184330088812,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.437871
rimO,VC_2620,24,12.806085,21.153131,22.109441570663453,2.0541660882553114,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.347047
nusB,VC_2267,24,12.81936,20.376598,22.081761865520477,2.0902059373590474,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.5572386
VC_1350,VC_1350,24,12.820865,19.325592,22.068784709262847,2.0666219530948657,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.5047274
trmJ,VC_0746,23,12.868683,21.957125,22.11535782442093,2.1408682983110126,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.088442
VC_1295,VC_1295,24,12.868689,21.810476,22.1146426525116,2.066922742598368,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.941788
pabC,VC_2018,24,12.887904,18.857805,22.08597439994812,2.0677737274317263,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.969901
VC_A1099,VC_A1099,24,12.91157,22.512756,22.128509455776214,2.095769658353952,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.601187
VC_A0620,VC_A0620,22,12.919151,21.564373,22.06356060285568,2.169937735043428,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.645222
