statistic,value
nWells,3669.0
nMutants,158.0
nWithinPairs,41110.0
nBetweenPairs,6687836.0
meanWithin,13.999680519104004
meanBetween,22.139310836791992
cohensD,1.1321574449539185
meanBetweenSamePlate,21.512361526489258
meanBetweenDiffPlate,22.152807235717773
fracWithinPairsCrossPlate,1.0
aucWithinCloser,0.8057111413335389
cliffsDelta,0.6114222826670779
mannWhitneyU,221519754078.5
ksStatistic,0.45908509003749587
nPerms,10000.0
permP_floor,9.999000099990002e-05
auc_z,284.8720811963723
auc_p,9.999000099990002e-05
nullAuc_mean,0.5000114135678417
nullAuc_sd,0.0010731122772082663
obsMeanWithinPerMutant,14.057716369628906
null_global_mean,22.088840749872183
null_global_sd,0.03741120809812416
null_global_z,-214.67161282733252
null_global_p,9.999000099990002e-05
null_withinPlate_mean,21.91934853160532
null_withinPlate_sd,0.03808021177819051
null_withinPlate_z,-206.4492762742188
null_withinPlate_p,9.999000099990002e-05
perMutantAuc,0.9872020589649094
perMutantAuc_z,68.32572897912569
perMutantAuc_p,9.999000099990002e-05
nMutantsBelowNullMean,157.0
nMutantsBelowNull,157.0
nMutantsPermP_lt_0.05,151.0
nMutantsFDR_lt_0.05,150.0
nMutantsBonferroni_lt_0.05,129.0
bonferroniThreshold,0.00031645569620253165
nMutantsTighterThanOthers,158.0
wilcoxon_stat,0.0
wilcoxon_p,5.580408444808019e-28
rankBiserial,-1.0
medianPairedDiff,-7.654940605163574
medianPairedDiff_ci_lo,-7.994632720947266
medianPairedDiff_ci_hi,-6.899595260620117
smallestPairedGap,1.0751533508300781
