condition,well,peakRLU,peakNormWT
WT,A1,859.8130841121496,1.169488974362057
WT,A2,819.8198198198198,1.1150914750649576
WT,A3,729.7297297297297,0.9925539503325447
WT,A4,607.843137254902,0.8267678874592803
WT,A5,630.2521008403362,0.8572478095775948
WT,A6,673.2673267326733,0.9157556798814385
WT,A7,764.7058823529412,1.0401273422874817
WT,A8,794.1176470588235,1.0801322400677693
WT,A9,737.2881355932204,1.0028346409668745
PdhE1,C1,3080.808080808081,4.190412020016
PdhE1,C2,2840.0,3.8628729296645856
PdhE1,C3,2631.0679611650485,3.5786905645395275
PdhE1,C4,4392.156862745098,5.974064735189637
PdhE1,C5,4572.815533980583,6.219790612170176
PdhE1,C6,3952.8301886792456,5.376507299792258
PdhE1,C7,3601.9417475728155,4.899240588354852
PdhE1,C8,2551.7241379310344,3.470769752248413
PdhE1,C9,3672.8971962616824,4.995751814394439
BioD,D1,5427.350427350427,7.3821003681744655
BioD,D2,4726.495726495727,6.428821265512567
BioD,D3,5181.0344827586205,7.047069665882758
BioD,D4,5504.424778761062,7.486934320863057
BioD,D5,5288.13559322034,7.192745011072755
BioD,D6,5306.451612903225,7.217657847908045
BioD,D7,5646.017699115044,7.679524271238955
BioD,D8,4504.1322314049585,6.126369883212662
BioD,D9,4649.572649572649,6.324193071317968
ManA,E1,1105.7692307692307,1.504030291547357
ManA,E2,954.1284403669724,1.2977735646889679
ManA,E3,816.7938931297709,1.110975710875472
ManA,E4,1220.4724409448818,1.6600457582843815
ManA,E5,1376.1467889908256,1.8717887952244727
ManA,E6,1114.0350877192982,1.5152732334673904
ManA,E7,1613.4453781512607,2.1945543925186426
ManA,E8,1512.8205128205127,2.0576878191604417
ManA,E9,1728.813559322034,2.351474330543016
PdhE2,F1,3968.4210526315787,5.39771347102872
PdhE2,F2,3057.1428571428573,4.158223374991053
PdhE2,F3,3066.666666666667,4.171177341891337
PdhE2,F4,2654.2056074766356,3.6101616165089583
PdhE2,F5,2925.233644859813,3.978804880166563
PdhE2,F6,2330.1886792452833,3.169444637347704
PdhE2,F7,3095.2380952380954,4.210039242592187
PdhE2,F8,2929.2035398230087,3.9842045984014014
PdhE2,F9,2740.740740740741,3.727863807970518
