locus,oldLocus,gene,description,logFC,qvalue
VC_RS00005,VC0002; VC_0002,mioC,FMN-binding protein MioC,1.09425893120968,5.55661081113492e-05
VC_RS00010,VC0003; VC_0003,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,0.115309961399798,0.466803187438602
VC_RS00015,VC0004; VC_0004,yidC,membrane protein insertase YidC,-1.47661213583609,2.05266420216631e-06
VC_RS00020,VC0005; VC_0005,yidD,membrane protein insertion efficiency factor YidD,-1.92201333735284,6.05859493220192e-06
VC_RS00025,VC0006; VC_0006,rnpA,ribonuclease P protein component,-1.60293034225172,0.0005216296478157
VC_RS00030,VC0007; VC_0007,rpmH,50S ribosomal protein L34,-1.36997323293081,0.0002933859688521
VC_RS00035,VC0008; VC_0008,,amino acid ABC transporter ATP-binding protein,0.623095868106308,0.0378077828846452
VC_RS00040,VC0009; VC_0009,,amino acid ABC transporter permease,-0.197316858968717,0.584739577760816
VC_RS00045,VC0010; VC_0010,,amino acid ABC transporter substrate-binding protein,0.337157879572095,0.405661562637034
VC_RS00050,VC0012; VC_0012,dnaA,chromosomal replication initiator protein DnaA,-0.62323248944928,0.000587135070817
VC_RS00055,VC0013; VC_0013,dnaN,DNA polymerase III subunit beta,-0.933971463237968,0.0005146479917826
VC_RS00060,VC0014; VC_0014,recF,DNA replication/repair protein RecF,-0.777028642546723,9.13795265688836e-05
VC_RS00065,VC0015; VC_0015,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,-0.446282870319219,0.0211645157140517
VC_RS00070,VC0015a; VC_0016,,hypothetical protein,-1.08788880869012,0.0025486802597199
VC_RS00075,VC0018; VC_0018,,Hsp20 family protein,3.60791603258142,5.95561873901449e-05
VC_RS00080,VC0019; VC_0019,,valine--pyruvate transaminase,-0.184804169277967,0.3389141619693
VC_RS00085,VC0020; VC_0020,glyS,glycine--tRNA ligase subunit beta,-0.337615305728785,0.0606254374798072
VC_RS00090,VC0021; VC_0021,glyQ,glycine--tRNA ligase subunit alpha,-0.626526035280697,0.0016998866727289
VC_RS00095,VC0022; VC_0022,,TMEM165/GDT1 family protein,-1.03619726696858,0.0005362384443852
VC_RS00100,VC0023; VC_0023,,hypothetical protein,-0.586128314596112,0.132900448790232
VC_RS00105,VC0024; VC_0024,tusA,sulfurtransferase TusA,0.135149289732924,0.483023313151371
VC_RS00110,VC0025; VC_0025,,hypothetical protein,-0.637825472586482,0.0786778375172518
VC_RS00115,VC0026; VC_0026,,MDR family oxidoreductase,0.402341447924295,0.138191032827869
VC_RS00120,VC0027; VC_0027,ilvA,"threonine ammonia-lyase, biosynthetic",0.532963503362379,0.0397181523652342
VC_RS00125,VC0028; VC_0028,ilvD,dihydroxy-acid dehydratase,0.757461689803085,0.128689986269477
VC_RS00130,VC0029; VC_0029,ilvE,branched-chain-amino-acid transaminase,0.405774849457139,0.0903678838941056
VC_RS00135,VC0030; VC_0030,ilvM,acetolactate synthase 2 small subunit,-0.359635554394694,0.276323906840153
VC_RS00140,VC0031; VC_0031,ilvG,acetolactate synthase 2 catalytic subunit,0.176717699238611,0.476701331457602
VC_RS00145,VC0032; VC_0032,,YifB family Mg chelatase-like AAA ATPase,0.991082240818657,0.0011624697687432
VC_RS00150,VC0033; VC_0033,,acyltransferase,0.789705285794255,0.0045115806624605
VC_RS00155,VC0034; VC_0034,,thiol:disulfide interchange protein DsbA/DsbL,0.0368259904179822,0.896557684458452
VC_RS00160,VC0035; VC_0035,,serine/threonine protein kinase,-1.16453369143991,5.41427002462465e-06
VC_RS00165,VC0036; VC_0036,ccoG,cytochrome c oxidase accessory protein CcoG,0.0485568231908237,0.816778091256085
VC_RS00170,VC0037; VC_0037,,YihD family protein,0.103619301005623,0.734031709404684
VC_RS00175,VC0039; VC_0039,,sporulation protein,1.36638265006633,2.4707721910683e-06
VC_RS00180,VC0040; VC_0040,,PAQR family membrane homeostasis protein TrhA,-0.583323801342789,0.0662924162280496
VC_RS00185,VC0041; VC_0041,,DUF3157 family protein,-0.475808797301811,0.0256634872710272
VC_RS00190,VC0042; VC_0042,,TrkH family potassium uptake protein,-0.50777223191114,0.0143348108221124
VC_RS00195,VC0043; VC_0043,trkA,Trk system potassium transporter TrkA,-0.272653183922045,0.193285462570333
VC_RS00200,VC0044; VC_0044,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,-0.686624758261012,0.0002245425613606
VC_RS00205,VC0045; VC_0045,fmt,methionyl-tRNA formyltransferase,-0.628940176393349,0.0026464932912249
VC_RS00210,VC0046; VC_0046,def,peptide deformylase,-0.136581500839683,0.423937676060046
VC_RS00215,VC0047; VC_0047,,LysM peptidoglycan-binding domain-containing protein,0.609141043965193,0.0058761526763499
VC_RS00220,VC0048; VC_0048,dprA,DNA-processing protein DprA,-0.421788378512767,0.344460178518014
VC_RS00225,VC0049; VC_0049,,DUF494 family protein,-0.310826362365298,0.179907777617588
VC_RS00230,VC0050; VC_0050,,DNA topoisomerase family protein,0.198861524561253,0.768474110098611
VC_RS00235,VC0051; VC_0051,,5-(carboxyamino)imidazole ribonucleotide synthase,-1.9792073654582,4.05818789078146e-06
VC_RS00240,VC0052; VC_0052,purE,5-(carboxyamino)imidazole ribonucleotide mutase,-2.01279556678676,1.6550548014643e-05
VC_RS00245,VC0054; VC_0054,,L-threonylcarbamoyladenylate synthase,0.520649213195423,0.190081347062787
VC_RS00250,VC0055; VC_0055,hemF,oxygen-dependent coproporphyrinogen oxidase,-0.393566760137558,0.325559089197405
VC_RS00255,VC0056; VC_0056,aroE,shikimate dehydrogenase,-0.270342781438854,0.126694851704823
VC_RS00260,VC0057; VC_0057,,DUF1488 domain-containing protein,-0.277546007314852,0.215548848726896
VC_RS00265,VC0058; VC_0058,,gamma carbonic anhydrase family protein,0.941888480293774,6.87928128540211e-05
VC_RS00300,VC0060; VC_0060,crcB,fluoride efflux transporter CrcB,0.0085193303897208,0.972028226977391
VC_RS00305,VC0061; VC_0061,thiC,phosphomethylpyrimidine synthase ThiC,-0.0293317008512382,0.898707888361565
VC_RS00310,VC0062; VC_0062,,thiamine phosphate synthase,-0.102630117943818,0.51015362335811
VC_RS00315,VC0063; VC_0063,thiF,thiazole biosynthesis adenylyltransferase ThiF,0.15717221283828,0.446441352377801
VC_RS00320,VC0064; VC_0064,thiS,sulfur carrier protein ThiS,0.231377937734573,0.365349497939183
VC_RS00325,VC0065; VC_0065,,thiazole synthase,0.335506757932857,0.0994903136406266
VC_RS00330,VC0066; VC_0066,thiH,2-iminoacetate synthase ThiH,-0.270805011155195,0.489148276792524
VC_RS00335,VC0067; VC_0067,,aminopeptidase P family protein,-0.385970736698755,0.127171732957893
VC_RS00340,VC0068; VC_0068,,LysR substrate-binding domain-containing protein,-1.03902777432431,0.001098565535502
VC_RS00345,VC0069; VC_0069,,multidrug effflux MFS transporter,-1.06964451523146,0.0001785961336847
VC_RS00350,VC0070; VC_0070,,hypothetical protein,-0.586872517105065,0.0455661562606459
VC_RS00355,VC0071; VC_0071,asnC,transcriptional regulator AsnC,0.0822372368776037,0.650962606581634
VC_RS00360,VC0072; VC_0072,,sensor domain-containing protein,-0.351380465182542,0.0652326786246321
VC_RS00365,VC0073; VC_0073,,class I SAM-dependent methyltransferase,-0.677759557249193,0.0004322128372494
VC_RS00370,VC0074; VC_0074,,hypothetical protein,-0.157349044566687,0.528159653571868
VC_RS00375,VC0075; VC_0075,,carboxylate/amino acid/amine transporter,0.341325776654791,0.0525486019041863
VC_RS00380,VC0076; VC_0076,uspA,universal stress protein UspA,1.38951048442757,4.85588643246873e-05
VC_RS00385,VC0078; VC_0078,ftnA,non-heme ferritin,0.965253216311348,0.0002515833097992
VC_RS00390,VC0079; VC_0079,uspB,universal stress protein UspB,-0.0830549765317785,0.706399012460672
VC_RS00395,VC0080; VC_0080,,NAD(P)/FAD-dependent oxidoreductase,-1.17675366910825,0.0039744249634818
VC_RS00400,VC0081; VC_0081,,DMT family transporter,0.193499686243313,0.477878502094137
VC_RS00405,VC0082; VC_0082,rmuC,DNA recombination protein RmuC,-0.29833137411458,0.0614207247960346
VC_RS00410,VC0083; VC_0083,ubiE,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",-0.224878266505019,0.131166069502836
VC_RS00415,VC0084; VC_0084,,ubiquinone biosynthesis accessory factor UbiJ,-0.168145294666572,0.892961545677304
VC_RS00420,VC0085; VC_0085,ubiB,ubiquinone biosynthesis regulatory protein kinase UbiB,0.0475037394101019,0.734031709404684
VC_RS00425,VC0086; VC_0086,tatA,Sec-independent protein translocase subunit TatA,-2.11074060077722,0.0036664726337963
VC_RS00430,VC0087; VC_0087,tatB,Sec-independent protein translocase protein TatB,0.215495665143203,0.354854447288328
VC_RS00435,VC0088; VC_0088,tatC,twin-arginine translocase subunit TatC,-0.596539280212865,0.0013515664648998
VC_RS00440,VC0089; VC_0089,,cytochrome-c peroxidase,2.37946101607013,9.30001140743815e-05
VC_RS00445,VC0090; VC_0090,dinF,MATE family efflux transporter DinF,-1.09155359052227,0.0004369154375367
