mutant,display,gene,peakFrame,annotation,color
wbeL,wbeL,VC_0249,27,O-Antigen Biosynthesis,#0096ff
manA,manA,VC_0269,24,O-Antigen Biosynthesis,#0096ff
manC,manC,VC_0241,23,O-Antigen Biosynthesis,#0096ff
flgO,flgO,VC_2207,23,Motility,#ff0004
potB,potB,VC_1427,23,Polyamine Import,#14f7f0
potA,potA,VC_1428,24,Polyamine Import,#14f7f0
potD1,potD1,VC_1424,24,Polyamine Import,#14f7f0
flgP,flgP,VC_2206,16,Motility,#ff0004
VC_A0800,VC_A0800,VC_A0800,24,Other,#bdbdbd
pckA,pckA,VC_2738,23,Other,#bdbdbd
VC_2485,VC_2485,VC_2485,23,Other,#bdbdbd
VC_A0171,VC_A0171,VC_A0171,22,Other,#bdbdbd
VC_A0785,VC_A0785,VC_A0785,24,Other,#bdbdbd
manB,manB,VC_0242,22,O-Antigen Biosynthesis,#0096ff
wbeG,wbeG,VC_0245,28,O-Antigen Biosynthesis,#0096ff
VC_0900,VC_0900,VC_0900,23,Other,#bdbdbd
mrcA,mrcA,VC_2635,30,Other,#bdbdbd
flgT,flgT,VC_2208,15,Motility,#ff0004
fliE,fliE,VC_2134,13,Motility,#ff0004
flhA,flhA,VC_2069,17,Motility,#ff0004
lpxM,lpxM,VC_0212,15,O-Antigen Biosynthesis,#0096ff
flgB,flgB,VC_2200,15,Motility,#ff0004
flrB,flrB,VC_2136,16,Motility,#ff0004
flgF,flgF,VC_2196,16,Motility,#ff0004
fliL,fliL,VC_2130,17,Motility,#ff0004
fliA,fliA,VC_2066,15,Motility,#ff0004
VC_A0079,VC_A0079,VC_A0079,14,Other,#bdbdbd
flrA,flrA,VC_2137,14,Motility,#ff0004
flhB,flhB,VC_2120,16,Motility,#ff0004
fliR,fliR,VC_2121,17,Motility,#ff0004
fliP,fliP,VC_2123,15,Motility,#ff0004
fliS,fliS,VC_2138,15,Motility,#ff0004
flaA,flaA,VC_2188,16,Motility,#ff0004
fliQ,fliQ,VC_2122,15,Motility,#ff0004
VC_2718; VC_2719,VC_2718; VC_2719,VC_2718; VC_2719,17,Other,#bdbdbd
bioA,bioA,VC_1111,15,Biotin Biosynthesis,#ff9f1c
bioF,bioF,VC_1113,16,Biotin Biosynthesis,#ff9f1c
bioC,bioC,VC_1114,16,Biotin Biosynthesis,#ff9f1c
bioD,bioD,VC_1115,14,Biotin Biosynthesis,#ff9f1c
wbeT,wbeT,VC_0259,24,O-Antigen Biosynthesis,#0096ff
VC_1359,VC_1359,VC_1359,22,Other,#bdbdbd
VC_1887,VC_1887,VC_1887,15,Other,#bdbdbd
fadR,fadR,VC_1900,30,Other,#bdbdbd
wavL,wavL,VC_0239,30,O-Antigen Biosynthesis,#0096ff
flgD,flgD,VC_2198,12,Motility,#ff0004
flgE,flgE,VC_2197,11,Motility,#ff0004
VC_2627,VC_2627,VC_2627,12,Other,#bdbdbd
glmS,glmS,VC_0487,12,Other,#bdbdbd
VC_1423,VC_1423,VC_1423,12,Other,#bdbdbd
VC_1909,VC_1909,VC_1909,13,Other,#bdbdbd
VC_A0726,VC_A0726,VC_A0726,13,Other,#bdbdbd
hslO,hslO,VC_2736,13,Other,#bdbdbd
VC_A0340,VC_A0340,VC_A0340,12,Other,#bdbdbd
