locus,oldLocus,gene,description,logFC,qvalue
VC_RS00005,VC0002; VC_0002,mioC,FMN-binding protein MioC,0.265271433097316,0.5001318095043
VC_RS00010,VC0003; VC_0003,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,-0.0337021432714275,0.949574648318161
VC_RS00015,VC0004; VC_0004,yidC,membrane protein insertase YidC,-0.383632026031634,0.271635781152787
VC_RS00020,VC0005; VC_0005,yidD,membrane protein insertion efficiency factor YidD,-0.708765222069464,0.194341387410718
VC_RS00025,VC0006; VC_0006,rnpA,ribonuclease P protein component,-0.450129445181486,0.548352000604636
VC_RS00030,VC0007; VC_0007,rpmH,50S ribosomal protein L34,-0.111878526521438,0.890862630265821
VC_RS00035,VC0008; VC_0008,,amino acid ABC transporter ATP-binding protein,0.0236334664765856,0.97885025929309
VC_RS00040,VC0009; VC_0009,,amino acid ABC transporter permease,0.0058351491379444,0.996601295197505
VC_RS00045,VC0010; VC_0010,,amino acid ABC transporter substrate-binding protein,0.313593137431177,0.721012648297316
VC_RS00050,VC0012; VC_0012,dnaA,chromosomal replication initiator protein DnaA,0.0682006100092249,0.860854348596186
VC_RS00055,VC0013; VC_0013,dnaN,DNA polymerase III subunit beta,-0.261142411267454,0.555904723009223
VC_RS00060,VC0014; VC_0014,recF,DNA replication/repair protein RecF,-0.281920027809538,0.321614871392933
VC_RS00065,VC0015; VC_0015,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,0.0049996326297065,0.994868148313972
VC_RS00070,VC0015a; VC_0016,,hypothetical protein,0.765501813001145,0.234631588220406
VC_RS00075,VC0018; VC_0018,,Hsp20 family protein,0.255111743756288,0.869501926885578
VC_RS00080,VC0019; VC_0019,,valine--pyruvate transaminase,0.139092626317163,0.743869120877748
VC_RS00085,VC0020; VC_0020,glyS,glycine--tRNA ligase subunit beta,0.0009730573912244,0.998616480506812
VC_RS00090,VC0021; VC_0021,glyQ,glycine--tRNA ligase subunit alpha,-0.23280181552943,0.504350609415924
VC_RS00095,VC0022; VC_0022,,TMEM165/GDT1 family protein,-0.508062473516673,0.28533917368528
VC_RS00100,VC0023; VC_0023,,hypothetical protein,0.0381611441896728,0.976850199293178
