locus,oldLocus,gene,description,logFC,qvalue
VC_RS00005,VC0002; VC_0002,mioC,FMN-binding protein MioC,-0.861384009977312,0.0001862341878451
VC_RS00010,VC0003; VC_0003,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,0.319975871211314,0.0346925485851013
VC_RS00015,VC0004; VC_0004,yidC,membrane protein insertase YidC,-1.88335865473094,4.38038020872261e-08
VC_RS00020,VC0005; VC_0005,yidD,membrane protein insertion efficiency factor YidD,-1.72913204383638,4.54562302056224e-06
VC_RS00025,VC0006; VC_0006,rnpA,ribonuclease P protein component,-2.99427117931749,1.0548863663391e-06
VC_RS00030,VC0007; VC_0007,rpmH,50S ribosomal protein L34,-3.40621392592843,3.44836446461656e-08
VC_RS00035,VC0008; VC_0008,,amino acid ABC transporter ATP-binding protein,1.45122757437679,7.12971296631211e-05
VC_RS00040,VC0009; VC_0009,,amino acid ABC transporter permease,1.60585000905554,0.0001497185451271
VC_RS00045,VC0010; VC_0010,,amino acid ABC transporter substrate-binding protein,2.29843605871296,2.54661341547122e-05
VC_RS00050,VC0012; VC_0012,dnaA,chromosomal replication initiator protein DnaA,-1.36204665237871,1.64923053599891e-07
VC_RS00055,VC0013; VC_0013,dnaN,DNA polymerase III subunit beta,-1.31622938121126,1.1092544609044e-05
VC_RS00060,VC0014; VC_0014,recF,DNA replication/repair protein RecF,-1.06724412625062,1.70191750990806e-06
VC_RS00065,VC0015; VC_0015,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,-0.647088977825359,0.0012949244036956
VC_RS00070,VC0015a; VC_0016,,hypothetical protein,-2.41451151694372,1.42260051226829e-06
VC_RS00075,VC0018; VC_0018,,Hsp20 family protein,1.19789833258514,0.0370327353964595
VC_RS00080,VC0019; VC_0019,,valine--pyruvate transaminase,0.021976580081353,0.908331077122744
VC_RS00085,VC0020; VC_0020,glyS,glycine--tRNA ligase subunit beta,-0.409994419976354,0.0184646030175227
VC_RS00090,VC0021; VC_0021,glyQ,glycine--tRNA ligase subunit alpha,-0.939004259639198,2.66843198815082e-05
VC_RS00095,VC0022; VC_0022,,TMEM165/GDT1 family protein,-1.78141330214117,1.8268091364412e-06
VC_RS00100,VC0023; VC_0023,,hypothetical protein,-1.68952843457143,0.0003106323384471
VC_RS00105,VC0024; VC_0024,tusA,sulfurtransferase TusA,-1.04926591703918,2.80308295399641e-05
VC_RS00110,VC0025; VC_0025,,hypothetical protein,-3.00132792431495,8.37825036625392e-07
VC_RS00115,VC0026; VC_0026,,MDR family oxidoreductase,0.456223822165491,0.0745795591187495
VC_RS00120,VC0027; VC_0027,ilvA,"threonine ammonia-lyase, biosynthetic",0.632295993725147,0.0120580428628713
VC_RS00125,VC0028; VC_0028,ilvD,dihydroxy-acid dehydratase,1.08886810446049,0.025492527217375
VC_RS00130,VC0029; VC_0029,ilvE,branched-chain-amino-acid transaminase,0.417426645921387,0.0637612685719279
VC_RS00135,VC0030; VC_0030,ilvM,acetolactate synthase 2 small subunit,0.37870685196492,0.212163450241775
VC_RS00140,VC0031; VC_0031,ilvG,acetolactate synthase 2 catalytic subunit,0.608067655276176,0.0130365322659784
VC_RS00145,VC0032; VC_0032,,YifB family Mg chelatase-like AAA ATPase,0.376466506975535,0.117433222386542
VC_RS00150,VC0033; VC_0033,,acyltransferase,-1.89894257766862,1.38247050667035e-06
VC_RS00155,VC0034; VC_0034,,thiol:disulfide interchange protein DsbA/DsbL,-0.115427108751586,0.648350238555813
VC_RS00160,VC0035; VC_0035,,serine/threonine protein kinase,-0.914329102965007,1.48008607342759e-05
VC_RS00165,VC0036; VC_0036,ccoG,cytochrome c oxidase accessory protein CcoG,-1.87936250007895,1.49689641278389e-07
VC_RS00170,VC0037; VC_0037,,YihD family protein,-0.575372436929917,0.0393597618347048
VC_RS00175,VC0039; VC_0039,,sporulation protein,0.407554848732509,0.0141038061325598
VC_RS00180,VC0040; VC_0040,,PAQR family membrane homeostasis protein TrhA,0.0916513716854221,0.758011050669193
VC_RS00185,VC0041; VC_0041,,DUF3157 family protein,-0.552491045933323,0.0077757884496865
VC_RS00190,VC0042; VC_0042,,TrkH family potassium uptake protein,-0.523199592128153,0.0080394407948081
VC_RS00195,VC0043; VC_0043,trkA,Trk system potassium transporter TrkA,-0.191568204617631,0.321394873853412
VC_RS00200,VC0044; VC_0044,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,-0.652869811028183,0.0001561846943383
VC_RS00205,VC0045; VC_0045,fmt,methionyl-tRNA formyltransferase,-0.712170682561406,0.0005644955022561
VC_RS00210,VC0046; VC_0046,def,peptide deformylase,-1.08773263180546,6.18337630798314e-06
VC_RS00215,VC0047; VC_0047,,LysM peptidoglycan-binding domain-containing protein,-0.553671142024413,0.0069365466209344
VC_RS00220,VC0048; VC_0048,dprA,DNA-processing protein DprA,-1.12861011661819,0.0121137670141923
VC_RS00225,VC0049; VC_0049,,DUF494 family protein,-0.592465065091996,0.0110759812577651
VC_RS00230,VC0050; VC_0050,,DNA topoisomerase family protein,-0.529883320735674,0.37097317325989
VC_RS00235,VC0051; VC_0051,,5-(carboxyamino)imidazole ribonucleotide synthase,-2.8285958053362,3.53530587050791e-08
VC_RS00240,VC0052; VC_0052,purE,5-(carboxyamino)imidazole ribonucleotide mutase,-2.80457820467093,2.62501700714019e-07
VC_RS00245,VC0054; VC_0054,,L-threonylcarbamoyladenylate synthase,-0.271139887602786,0.459674065774674
VC_RS00250,VC0055; VC_0055,hemF,oxygen-dependent coproporphyrinogen oxidase,-1.05851939534533,0.0091258782347879
VC_RS00255,VC0056; VC_0056,aroE,shikimate dehydrogenase,-1.78227474991666,7.68903262702631e-08
VC_RS00260,VC0057; VC_0057,,DUF1488 domain-containing protein,-1.53017073811195,3.81556795533733e-06
